,precision,recall,f1-score,support
adult_content,0.0,0.0,0.0,9.0
art_and_design,0.3815789473684211,0.27884615384615385,0.32222222222222224,104.0
crime_and_law,0.7553956834532374,0.6287425149700598,0.6862745098039216,334.0
education_and_jobs,0.8080059303187547,0.8522283033620016,0.8295281582952816,1279.0
electronics_and_hardare,0.4110429447852761,0.5193798449612403,0.4589041095890411,129.0
entertainment,0.9024745269286754,0.872624912033779,0.8872987477638641,1421.0
fashion_and_beauty,0.7258064516129032,0.4787234042553192,0.5769230769230769,94.0
finance_and_business,0.8321678321678322,0.8321678321678322,0.8321678321678322,858.0
food_and_dining,0.8031914893617021,0.8118279569892473,0.8074866310160428,186.0
games,0.36585365853658536,0.20833333333333334,0.26548672566371684,72.0
health,0.6968325791855203,0.5292096219931272,0.6015625,291.0
history_and_geography,0.8101045296167247,0.7548701298701299,0.7815126050420168,616.0
home_and_hobbies,0.6060606060606061,0.3305785123966942,0.42780748663101603,121.0
industrial,0.3543307086614173,0.34615384615384615,0.35019455252918286,130.0
literature,0.8226950354609929,0.760655737704918,0.7904599659284497,610.0
politics,0.7516025641025641,0.8337777777777777,0.7905604719764012,1125.0
religion,0.7884160756501182,0.9025710419485792,0.841640378548896,739.0
science_math_and_technology,0.8955223880597015,0.8701517706576728,0.8826548067054396,2965.0
social_life,0.623574144486692,0.6586345381526104,0.640625,249.0
software,0.5752577319587628,0.6855036855036855,0.625560538116592,407.0
software_development,0.8001531393568146,0.8908780903665814,0.8430818878580073,1173.0
sports_and_fitness,0.8429951690821256,0.830952380952381,0.8369304556354916,420.0
transportation,0.6533333333333333,0.44545454545454544,0.5297297297297298,110.0
travel_and_tourism,0.7956989247311828,0.729064039408867,0.7609254498714653,203.0
accuracy,0.8023451813851228,0.8023451813851228,0.8023451813851228,0.8023451813851228
macro avg,0.6667539330949976,0.627138748927516,0.6403974100840703,13645.0
weighted avg,0.8018114992271632,0.8023451813851228,0.7997761698475883,13645.0
